lp.mp3
artist here
album here
1250 0 10000
1625 0 00001
2062 0 00001
2687 0 00100
3125 0 01000
3687 0 01000
4375 0 01000
5000 0 01000
5312 0 00100
5625 0 10000
6125 0 00001
6687 0 00001
7312 0 00100
7875 0 01000
8437 0 01000
8937 0 01000
9625 0 01000
9937 0 00100
10250 0 10000
10687 0 00001
11312 0 00001
11875 0 00100
12375 0 01000
12937 0 01000
13562 0 01000
14062 0 01000
14437 0 00100
14750 0 10000
15187 0 00001
15812 0 00001
16375 0 00100
17000 625 01000
18812 0 00001
19312 1937 00010
21687 1500 00001
23312 0 00010
23875 1562 00100
26062 1500 10000
28062 0 00001
28500 1937 00010
30625 1500 00001
32312 0 00010
32937 1812 00100
35187 1500 10000
37625 0 10000
38187 0 00001
38687 0 00001
39250 0 00100
39750 0 01000
40375 0 01000
40937 0 01000
41500 0 01000
41875 0 00100
42187 0 10000
42687 0 00001
43312 0 00001
43875 0 00100
44437 0 01000
44937 0 01000
45562 0 01000
46125 0 01000
46437 0 00100
46812 0 10000
47312 0 00001
47875 0 00001
48437 0 00100
49062 0 01000
49562 0 01000
50062 0 01000
50625 0 01000
50937 0 00100
51187 0 10000
51875 0 00001
52500 0 00001
53125 0 00100
53625 0 01000
54062 0 01000
54562 0 01000
55187 0 01000
55750 2250 10000
55750 2250 01000
58125 2000 01000
58125 2000 00010
60375 2000 00100
60375 2000 00010
62625 2187 00010
62625 2187 00001
65000 2250 10000
65000 2250 01000
67375 2000 01000
67375 2000 00010
69562 2000 00100
69562 2000 00010
71750 2187 00010
71750 2187 00001
74125 1937 00010
76500 1500 00001
78125 0 00010
78750 1875 00100
80875 1500 10000
82687 0 00001
83187 1937 00010
85562 1500 00001
87187 0 00010
87812 1562 00100
89937 1500 10000
92375 0 10000
92937 0 00001
93437 0 00001
93937 0 00100
94500 0 01000
95062 0 01000
95687 0 01000
96250 0 01000
96625 0 00100
96937 0 10000
97500 0 00001
98062 0 00001
98562 0 00100
99062 0 01000
99625 0 01000
100250 0 01000
100875 0 01000
101187 0 00100
101500 0 10000
102062 0 00001
102625 0 00001
103062 0 00100
103687 0 01000
104250 0 01000
104812 0 01000
105437 0 01000
105750 0 00100
106125 0 10000
106625 0 00001
107187 0 00001
107812 0 00100
108437 0 01000
108875 0 01000
109375 0 01000
109937 0 01000
110500 2250 10000
110500 2250 01000
112937 2000 01000
112937 2000 00010
115187 2000 00100
115187 2000 00010
117375 2187 00010
117375 2187 00001
119750 2250 10000
119750 2250 01000
122187 2000 01000
122187 2000 00010
124375 2000 00100
124375 2000 00010
126625 2187 00010
126625 2187 00001
131500 0 10000
131937 0 00001
132312 0 00001
132875 0 00100
133375 0 01000
134000 0 01000
134562 0 01000
135125 0 01000
135500 0 00100
135812 0 10000
136250 0 00001
136875 0 00001
137375 0 00100
137937 0 01000
138500 0 01000
139125 0 01000
139750 0 01000
140062 0 00100
140312 0 10000
140812 0 00001
141375 0 00001
142000 0 00100
142500 0 01000
143062 0 01000
143562 0 01000
144062 0 01000
144500 0 00100
144812 0 10000
145312 0 00001
145875 0 00001
146437 0 00100
147000 1062 01000
149375 2250 10000
149375 2250 01000
151750 2000 01000
151750 2000 00010
153937 2000 00100
153937 2000 00010
156187 2187 00010
156187 2187 00001
158562 2250 10000
158562 2250 01000
160937 2000 01000
160937 2000 00010
163187 2000 00100
163187 2000 00010
165437 2062 00010
165437 2062 00001
167750 2250 10000
167750 2250 01000
170125 2000 01000
170125 2000 00010
172375 2000 00100
172375 2000 00010
174625 2187 00010
174625 2187 00001
177000 2125 10000
177000 2125 01000
179250 2000 01000
179250 2000 00010
181437 2000 00100
181437 2000 00010
183687 2187 00010
183687 2187 00001
186250 0 10000
186625 0 00001
187187 0 00001
187750 0 00100
188187 0 01000
188687 0 01000
189250 0 01000
189812 0 01000
190187 0 00100
190437 0 10000
190937 0 00001
191500 0 00001
192125 0 00100
192687 0 01000
193250 0 01000
193875 0 01000
194500 0 01000
194750 0 00100
195062 0 10000
195625 0 00001
196125 0 00001
196750 0 00100
197312 0 01000
197875 0 01000
198562 0 01000
199125 0 01000
199437 0 00100
199812 0 10000
200375 0 00001
201000 0 00001
201687 0 00100
202187 0 01000
203062 0 01000
203812 0 01000
204500 0 01000
204937 0 00100
206187 0 10000
206625 0 01000
207000 0 00100
207312 0 00010
207687 0 00001
208312 562 00010
209250 1812 00001
