crushcrushcrush.mp3
artist here
album here
6186 00001
6405 01000
6624 01000
6843 01000
7062 10001
7499 01100
7937 00101
8375 01100
8813 00101
9251 01100
9689 00101
10127 01100
10565 00101
11003 01100
11441 00101
11879 01100
12317 00101
12755 01100
13193 00101
13631 01010
14069 00101
14507 01100
14945 00101
15383 01100
15821 00101
16259 01100
16697 00101
17135 01100
17572 00101
18010 01100
18448 00101
18886 01100
19324 00101
19762 01100
20200 00100
20638 00010
21076 10001
21514 00100
21952 00101
22390 00100
22828 00101
23266 00100
23704 00101
24142 00100
24580 00101
25018 00100
25456 00101
25894 00100
26332 00101
26770 00100
27208 00101
27645 00010
28083 10001
28521 01100
28959 00101
29397 01100
29835 00101
30273 01100
30711 00101
31149 01100
31587 00101
32025 01100
32463 00101
32901 01100
33339 00101
33777 01100
34215 00101
34653 01010
35091 10001
35529 01100
35967 00101
36405 01100
36843 00101
37281 01100
37718 01010
38594 10001
39470 00001
40346 00001
41222 00001
42098 10001
42974 00001
43850 00001
44726 00001
45164 01000
45602 10001
46040 01100
46478 00101
46916 01100
47353 00101
47791 01100
48229 00101
48667 01100
49105 10001
49543 01100
49981 00101
50419 01100
50857 00101
51295 01100
51733 00101
52171 01100
52609 10001
53047 01100
53485 00101
53923 01100
54361 00101
54799 01100
55237 00101
55675 01000
55894 01000
56113 10001
56551 11000
56989 10000
57043 00001
57426 11000
57864 10000
57919 00001
58302 11000
58740 01010
59616 10000
59671 00001
60054 01000
60273 00100
60930 01000
61149 00100
61806 01000
62025 00100
62682 01000
62901 00100
63558 01000
63777 00100
64434 01000
64653 00100
65310 01000
65748 00001
65967 01000
66186 01000
66405 01000
66624 10001
67062 01100
67499 00101
67937 01100
68375 00101
68813 01100
69251 00101
69689 01100
70127 00101
70565 01100
71003 00101
71441 01100
71879 00101
72317 01100
72755 00101
73193 01010
73631 00101
74069 01100
74507 00101
74945 01100
75383 00101
75821 01100
76259 00101
76697 01100
77135 00101
77572 01100
78010 00101
78448 01100
78886 00101
79324 01100
79762 00101
80200 00010
80638 10001
81076 01100
81514 00101
81952 01100
82390 00101
82828 01100
83266 00101
83704 01100
84142 00101
84580 01100
85018 00101
85456 01100
85894 00101
86332 01100
86770 00101
87207 01010
87645 00101
88083 01100
88521 00101
88959 01100
89397 00101
89835 01100
90273 00101
90711 01100
91149 00101
91587 01100
92025 00101
92463 01100
92901 00101
93339 01100
93777 00101
94215 01010
94653 10001
95091 01100
95529 00101
95967 01100
96405 00101
96843 01100
97280 01000
97499 00100
97718 01000
98156 10001
99032 00001
99908 00001
100784 00001
101660 10001
102536 00001
103412 00001
104288 00001
104726 01000
105164 10001
105602 01100
106040 00101
106478 01100
106916 00101
107353 01100
107791 00101
108229 01100
108667 10001
109105 01100
109543 00101
109981 01100
110419 00101
110857 01100
111295 00101
111733 01100
112171 10001
112609 01100
113047 00101
113485 01100
113923 00101
114361 01100
114799 00101
115237 00010
115456 00010
115675 10001
116113 11000
116551 10000
116605 00001
116988 11000
117426 10000
117481 00001
117864 11000
118302 10001
118740 11000
119178 10000
119233 00001
120054 00001
120985 00001
121806 00001
122737 00001
123558 00001
124488 00001
125310 00001
126186 00011
126843 00100
127499 00110
127937 00001
128375 00001
129032 00100
129251 00100
129689 00011
130346 00100
131003 00110
131441 00001
131879 00010
132098 00010
132317 00010
132536 00010
132755 00010
132974 00010
133193 10000
133248 00001
133631 01000
133850 00100
134507 01000
134726 00100
135383 01000
135602 00100
136259 01000
136478 00100
136697 00001
137134 01000
137353 00100
138010 01000
138229 00100
138886 01000
139105 00100
139762 01000
140200 10000
140255 00001
140638 01000
140857 00100
141514 01000
141733 00100
142390 01000
142609 00100
143266 01000
143485 00100
143759 00001
144142 01000
144361 00100
145018 01000
145237 00100
145894 01000
146113 00100
146551 01000
146770 01000
146988 01000
147207 10001
147645 11000
148083 10001
148521 11000
148959 10001
149397 11000
149835 10001
150273 11000
150711 10001
151149 11000
151587 10001
152025 11000
152463 10001
152901 11000
153339 01000
153558 01000
153777 01000
154215 10001
154653 01100
155091 00101
155529 01100
155967 00101
156405 01100
156842 00101
157280 01100
157718 10001
158156 01100
158594 00101
159032 01100
159470 00101
159908 01100
160346 00101
160784 01100
161222 10001
161660 11000
162098 10001
162536 11000
162974 10001
163412 11000
163850 10001
164288 11000
164726 10001
165164 11000
165602 10001
166040 11000
166478 10001
166915 11000
167353 10001
167791 11000
168229 10001
168667 11000
169105 10001
169543 11000
169981 10001
170419 11000
170857 10001
171295 01000
171514 01000
171733 10001
172171 11000
172609 10001
173047 11000
173485 10001
173923 11000
174361 10001
174799 00010
175018 00010
175237 10001
175675 01000
175894 01000
176113 00001
176551 01000
176769 01000
176988 00001
177426 01000
177645 01000
177864 00001
178302 01000
178521 01000
178740 00001
179178 01000
179397 01000
179616 00001
180054 01000
180273 01000
180492 00001
180930 01000
181149 01000
181368 00001
181806 01010
182244 10001
182682 01100
183120 01100
183558 01100
183996 01100
184434 01100
184872 01100
185310 01100
185748 01100
